date,region,total_cc,imported_cc,sub_total_epilinks_cc,shincheonji_cc,small_clusters_cc,contacts_cc,epi_link_imported_cc,other_cc,new_cc,other_major_epilinks
29/03/2020,Incheon,58,15,36,2,28,4,2,7,7,"Guro-gu call  center (20),  etc."
29/03/2020,Gwangju,20,5,14,9,0,2,3,1,0,
29/03/2020,Daejeon,34,4,20,2,11,7,0,10,3,"Korea Forest Engineer  Institute
(3),  etc."
29/03/2020,Ulsan,39,8,24,16,1,4,3,7,0,
29/03/2020,Sejong,46,0,42,1,38,3,0,4,2,"Ministry of Oceans  and Fisheries
(30),  gym facilities  (8)"
29/03/2020,Gyeonggi,448,64,335,29,228,60,18,49,15,"Grace  River Church  in Seongnam  (68), Guro-gu call center-Bucheon  SaengMyeongSu
Church  (48), etc."
29/03/2020,Gangwon,34,4,22,17,5,0,0,8,2,"Apartments  in  Wonju City   (3),
etc."
29/03/2020,"Chung-
buk",41,2,27,6,11,10,0,12,0,"Goesan-gun  Jangyeon-myeon
(11)"
29/03/2020,Chung- nam,127,7,113,0,112,1,0,7,1,"Gym  facilities  in  Cheonan (103),
research  center  in Seosan (8), etc."
29/03/2020,"Jeon-
buk",12,3,1,1,0,0,0,8,2,
29/03/2020,"Jeon-
nam",9,1,4,1,2,2,1,2,1,Manmi  Central  Church(2)
29/03/2020,Gyeong- buk,1287,1,1121,555,390,175,1,165,2,"Cheongdo  Daenam Hospital (120),  Bonghwa Pureun Nursing Home (68),  pilgrimage  to Israel (49),  Gyeongsan  Seorin  Nursing
Home (36),  etc."
29/03/2020,Gyeong- nam,94,5,72,32,35,5,0,17,3,"Geochang  Church  (10), Geochang  Woongyang-myeon
(8),  etc."
29/03/2020,Jeju,8,4,0,0,0,0,0,4,0,
29/03/2020,Airport,189,189,0,0,0,0,0,0,21,
29/03/2020,Total,9583,412,7774,5089,1567,1056,62,1397,105,
30/03/2020,Seoul,426,109,284,7,209,32,36,33,16,"Guro-gu call  center (96),
Dong-an Church-PC Cafe  (20),
Manmin  Central Church  (20), etc."
30/03/2020,Busan,118,8,80,12,50,18,0,30,1,"Onchun Church  (32),
Suyeong-gu Kindergarten (5),
etc."
30/03/2020,Daegu,6624,4,5871,4467,489,913,2,749,14,"Hansarang  Convalescent Hospital  (110),  Daesil
Convalescent  Hospital  (91), Second  Mi-Ju  Hospital (79), etc."
30/03/2020,Incheon,58,19,36,2,29,3,2,3,0,"Guro-gu call  center (20),  etc."
30/03/2020,Gwangju,20,5,14,9,0,2,3,1,0,
30/03/2020,Daejeon,34,4,21,2,11,8,0,9,0,"Korea Forest Engineer  Institute
(3),  etc."
30/03/2020,Ulsan,39,8,24,16,1,4,3,7,0,
30/03/2020,Sejong,46,3,42,1,38,3,0,1,0,"Ministry of Oceans  and Fisheries
(30),  gym facilities  (8)"
30/03/2020,Gyeonggi,463,79,342,29,237,58,18,42,15,"Grace  River Church  in Seongnam  (68), Guro-gu  call center-Bucheon  SaengMyeongSu
Church  (48), etc."
30/03/2020,Gangwon,36,5,23,17,5,1,0,8,2,"Apartments  in  Wonju City   (3),
etc."
30/03/2020,"Chung-
buk",44,3,32,6,11,15,0,9,3,"Goesan-gun  Jangyeon-myeon
(11)"
30/03/2020,Chung- nam,127,7,113,0,112,1,0,7,0,"Gym  facilities  in  Cheonan (103), research  center  in Seosan (8),
etc."
30/03/2020,"Jeon-
buk",13,5,1,1,0,0,0,7,1,
30/03/2020,"Jeon-
nam",9,2,6,1,2,2,1,1,0,Manmin Central Church  (2)
30/03/2020,Gyeong- buk,1298,2,1162,559,409,193,1,134,11,"Cheongdo  Daenam Hospital (120),  Bonghwa Pureun Nursing Home (68),  pilgrimage  to Israel (49),  Gyeongsan  Seo
Convalescent Hospital  (36), etc."
30/03/2020,Gyeong- nam,95,6,72,32,35,5,0,17,1,"Geochang  Church  (10), Geochang  Woongyang-myeon
(8),  etc."
30/03/2020,Jeju,9,5,0,0,0,0,0,4,1,
30/03/2020,Airport,202,202,0,0,0,0,0,0,13,
30/03/2020,Total,9661,476,8123,5161,1638,1258,66,1062,78,
31/03/2020,Seoul,450,119,293,7,217,32,37,38,24,"Guro-gu  call  center  (96),
Dong-an  Church-PC  Cafe  (20), Manmin  Central  Church  (29),
etc."
31/03/2020,Busan,119,8,80,12,50,18,0,31,1,"Onchun  Church  (32),
Suyeong-gu  Kindergarten  (5),
etc."
31/03/2020,Daegu,6684,5,5930,4468,545,914,3,749,60,"Second  Mi-Ju  Hospital  (113), Hansarang  Convalescent Hospital  (110),  Daesil
Convalescent  Hospital  (91),  etc."
31/03/2020,Incheon,64,21,36,2,29,3,2,7,6,"Guro-gu  call  center  (20),  etc."
31/03/2020,Gwangju,20,5,14,9,0,2,3,1,0,
31/03/2020,Daejeon,36,4,21,2,11,8,0,11,2,"Korea  Forest  Engineer Institute
(3),  etc."
31/03/2020,Ulsan,39,8,24,16,1,4,3,7,0,
31/03/2020,Sejong,46,3,42,1,38,3,0,1,0,"Ministry  of  Oceans  and  Fisheries
(30),  gym  facilities  (8)"
31/03/2020,Gyeonggi,476,86,348,29,243,58,18,42,13,"Grace  River  Church  in  Seongnam  (68),  Guro-gu  call center-Bucheon  SaengMyeongSu
Church  (48),  etc."
31/03/2020,Gangwon,36,6,22,17,5,0,0,8,0,"Apartments  in  Wonju  City   (3),
etc."
31/03/2020,"Chung-
buk",44,4,32,6,11,13,2,8,0,Goesan-gun  Jangyeon-myeon (11)
31/03/2020,Chung- nam,128,7,113,0,112,1,0,8,1,"Gym  facilities  in  Cheonan  (103), research  center  in  Seosan  (8),
etc."
31/03/2020,"Jeon-
buk",13,6,1,1,0,0,0,6,0,
31/03/2020,"Jeon-
nam",9,2,6,1,2,2,1,1,0,Manmin  Central  Church  (2)
31/03/2020,Gyeong- buk,1300,5,1162,559,409,193,1,133,2,"Cheongdo  Daenam  Hospital (120),  Bonghwa  Pureun  Nursing Home  (68),  pilgrimage  to  Israel (49),  Gyeongsan  Seo
Convalescent  Hospital  (46),  etc."
31/03/2020,Gyeong- nam,96,7,72,32,35,5,0,17,1,"Geochang  Church  (10), Geochang  Woongyang-myeon
(8),  etc."
31/03/2020,Jeju,9,5,0,0,0,0,0,4,0,
31/03/2020,Airport,217,217,0,0,0,0,0,0,15,
31/03/2020,Total,9786,518,8196,5162,1708,1256,70,1072,125,
01/04/2020,Seoul,474,127,310,7,228,37,38,37,24,"Guro-gu  call  center (97),
Dong-an Church-PC Cafe  (20),
Manmin  Central Church  (35), etc."
01/04/2020,Busan,122,12,80,12,50,18,0,30,3,"Onchun Church  (32),
Suyeong-gu Kindergarten (5),
etc."
01/04/2020,Daegu,6704,5,5961,4477,563,918,3,738,20,"Second  Mi-Ju  Hospital (135), Hansarang  Convalescent Hospital  (121),  Daesil
Convalescent  Hospital  (94), etc."
01/04/2020,Incheon,69,25,40,2,31,4,3,4,5,"Guro-gu call  center (20),  etc."
01/04/2020,Gwangju,24,6,15,9,0,3,3,3,4,
01/04/2020,Daejeon,36,6,21,2,11,8,0,9,0,"Korea Forest Engineer  Institute
(3),  etc."
01/04/2020,Ulsan,39,8,24,16,1,4,3,7,0,
01/04/2020,Sejong,46,3,42,1,38,3,0,1,0,"Ministry of Oceans  and Fisheries
(30),  gym facilities  (8)"
01/04/2020,Gyeonggi,499,96,359,29,251,61,18,44,23,"Grace  River  Church  in Seongnam  (72), Guro-gu call center-Bucheon  SaengMyeongSu Church  (48), Uijeongbu  St.
Mary’s  Hospital,  etc."
01/04/2020,Gangwon,38,7,23,17,5,1,0,8,2,"Apartments  in  Wonju City   (3),
etc."
01/04/2020,"Chung-
buk",44,4,31,5,11,13,2,9,0,"Goesan-gun  Jangyeon-myeon
(11)"
01/04/2020,Chung- nam,131,8,114,0,112,2,0,9,3,"Gym  facilities  in  Cheonan (103), research  center  in Seosan (8),
etc."
01/04/2020,"Jeon-
buk",14,6,1,1,0,0,0,7,1,
01/04/2020,"Jeon-
nam",12,4,6,1,2,2,1,2,3,Manmin Central Church  (2)
01/04/2020,Gyeong- buk,1302,5,1164,559,411,193,1,133,2,"Cheongdo  Daenam Hospital (120),  Bonghwa Pureun Nursing Home (68),  pilgrimage  to Israel (49),  Gyeongsan  Seo
Convalescent Hospital  (46), etc."
01/04/2020,Gyeong- nam,100,9,72,32,35,5,0,19,4,"Geochang  Church  (10), Geochang  Woongyang-myeon
(8),  etc."
01/04/2020,Jeju,9,5,0,0,0,0,0,4,0,
01/04/2020,Airport,224,224,0,0,0,0,0,0,7,
01/04/2020,Total,9887,560,8260,5171,1745,1272,72,1067,101,
02/04/2020,Seoul,488,134,314,7,237,30,40,40,14,"Guro-gu call  center (97),
Dong-an Church-PC Cafe  (20),
Manmin  Central Church  (36), etc."
02/04/2020,Busan,122,12,80,12,50,18,0,30,0,"Onchun Church  (32),
Suyeong-gu Kindergarten (5),
etc."
02/04/2020,Daegu,6725,6,5979,4477,578,921,3,740,21,"Second  Mi-Ju  Hospital (147), Hansarang  Convalescent Hospital  (123),  Daesil
Convalescent  Hospital  (95), etc."
02/04/2020,Incheon,73,27,43,2,31,6,4,3,4,"Guro-gu call  center (20),  etc."
02/04/2020,Gwangju,25,8,16,9,0,1,6,1,1,
02/04/2020,Daejeon,36,6,21,2,11,8,0,9,0,"Korea Forest Engineer  Institute
(3),  etc."
02/04/2020,Ulsan,40,8,24,16,1,4,3,8,1,
02/04/2020,Sejong,46,3,42,1,38,3,0,1,0,"Ministry of Oceans  and Fisheries
(30),  gym facilities  (8)"
02/04/2020,Gyeonggi,516,102,371,29,262,61,19,43,17,"Grace  River  Church  in Seongnam  (72), Guro-gu call center-Bucheon  SaengMyeongSu Church  (48), Uijeongbu  St.
Mary’s  Hospital,  etc."
